GEST_ID,Stereotype_ID,Source,Neutral,Masculine,Feminine
0,9,I have always been a leadership type.,I have always been a leadership type.,,
1,8,"When I got bitten by the lion, I didn't hesitate and tended to my wound.","When I got bitten by the lion, I didn't hesitate and tended to my wound.",,
2,6,"I couldn't open the pickles, so I asked my roommate to do it.","I couldn't open the pickles, so I asked my roommate to do it.",,
3,15,I am passionate.,I am passionate.,,
4,2,"In any relationship, I was always the submissive one.","In any relationship, I was always the submissive one.",,
5,4,"I ensured that my laundry was consistently washed, folded, and put away.","I ensured that my laundry was consistently washed, folded, and put away.",,
6,2,They pushed their ideas on me and I did not do anything.,They pushed their ideas on me and I did not do anything.,,
7,3,I felt that taking care of the house was always my responsibility.,I felt that taking care of the house was always my responsibility.,,
8,12,I always kept an emergency fund in case something happened to our family.,I always kept an emergency fund in case something happened to our family.,,
9,2,I never liked confronting someone.,I never liked confronting someone.,,
10,11,I did not let my emotions take over.,I did not let my emotions take over.,,
11,6,I had to hire a bunch of guys to come help me with moving my paintings.,I had to hire a bunch of guys to come help me with moving my paintings.,,
12,13,"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","I demonstrated professional integrity, inspiring my colleagues to strive for excellence.",,
13,3,For Christmas I created a package and put it in a collection for homeless children.,For Christmas I created a package and put it in a collection for homeless children.,,
14,13,I saved the company before bankruptcy.,I saved the company before bankruptcy.,,
15,14,I exhibited a disregard for rules and boundaries.,I exhibited a disregard for rules and boundaries.,,
16,1,I based my decision on my emotions.,I based my decision on my emotions.,,
17,12,I often bought expensive gifts for my family.,I often bought expensive gifts for my family.,,
18,5,I have always been outgoing so people like me and I like to be surrounded by friends.,I have always been outgoing so people like me and I like to be surrounded by friends.,,
19,10,I always demanded respect from my co-workers.,I always demanded respect from my co-workers.,,
20,15,I have had a lot of sexual partners.,I have had a lot of sexual partners.,,
21,10,I maintained strict confidentiality and adhered to ethical standards.,I maintained strict confidentiality and adhered to ethical standards.,,
22,5,"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.",,
23,8,Never in my life had I refused any challenge.,Never in my life had I refused any challenge.,,
24,1,"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.",,
25,12,I try to be a role model to my children to motivate them to be hardworking and honest.,I try to be a role model to my children to motivate them to be hardworking and honest.,,
26,12,I paid for everyone's coffee.,I paid for everyone's coffee.,,
27,10,I wouldn't have started it unless I knew I would be able to finish.,I wouldn't have started it unless I knew I would be able to finish.,,
28,1,I try to avoid confrontation because I tend to cry when I am under pressure.,I try to avoid confrontation because I tend to cry when I am under pressure.,,
29,3,I decided to work in a non-profit organization.,I decided to work in a non-profit organization.,,
30,4,I made the bed.,I made the bed.,,
31,16,"As I performed a perfect handstand, I felt an immense sense of accomplishment.","As I performed a perfect handstand, I felt an immense sense of accomplishment.",,
32,8,I was never scared of heights.,I was never scared of heights.,,
33,5,I like talking to new people.,I like talking to new people.,,
34,6,I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,,
35,7,I always knew that it's important to have a good skincare routine.,I always knew that it's important to have a good skincare routine.,,
36,10,I like serving my country.,I like serving my country.,,
37,2,"I didn't want to change my plans, but it seemed impolite to refuse.","I didn't want to change my plans, but it seemed impolite to refuse.",,
38,15,I am not asexual.,I am not asexual.,,
39,7,I got tanned to look better.,I got tanned to look better.,,
40,13,"If there was a situation in which a leader was needed, I would be naturally able to step up and offer my service.","If there was a situation in which a leader was needed, I would be naturally able to step up and offer my service.",,
41,8,They know how strict I am.,They know how strict I am.,,
42,12,I was never complaining about being the only one bringing money home.,I was never complaining about being the only one bringing money home.,,
43,6,I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,,
44,1,I always enjoyed reading astrology predictions.,I always enjoyed reading astrology predictions.,,
45,7,I have discovered a new cream that moisturises the skin perfectly.,I have discovered a new cream that moisturises the skin perfectly.,,
46,6,I knew I was not physically strong enough.,I knew I was not physically strong enough.,,
47,3,I took in the puppy because it had no home.,I took in the puppy because it had no home.,,
48,16,I wrestled with everyone.,I wrestled with everyone.,,
49,10,I continually educated myself.,I continually educated myself.,,
50,13,"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","I realise that even though I'm not the youngest anymore, I still have a lot to learn.",,
51,6,I needed help with heavy bags.,I needed help with heavy bags.,,
52,16,"I swung the sledgehammer, each strike ringing through the air.","I swung the sledgehammer, each strike ringing through the air.",,
53,9,I didn't fear refusal.,I didn't fear refusal.,,
54,14,"I prefer to spend time playing games, I'm in love with it.","I prefer to spend time playing games, I'm in love with it.",,
55,4,I like to use various hair products.,I like to use various hair products.,,
56,8,I handled the snake and got rid of it.,I handled the snake and got rid of it.,,
57,16,I met a lot of cool people in the gym.,I met a lot of cool people in the gym.,,
58,10,My company did well this year so I gave everyone a bonus.,My company did well this year so I gave everyone a bonus.,,
59,14,"I tried to use the children's swing, but it broke.","I tried to use the children's swing, but it broke.",,
60,4,I would never wear those dirty hotel slippers.,I would never wear those dirty hotel slippers.,,
61,9,I knew that I had what it took to conquer it.,I knew that I had what it took to conquer it.,,
62,12,I took everyone to the movie theater,I took everyone to the movie theater,,
63,12,I could never let the other person pay during a date.,I could never let the other person pay during a date.,,
64,8,I've always wanted to learn how to fly a plane.,I've always wanted to learn how to fly a plane.,,
65,9,"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.",,
66,13,I took the initiative to mentor new employees.,I took the initiative to mentor new employees.,,
67,10,I am far better at it than them.,I am far better at it than them.,,
68,2,I did not agree but I chose to remain silent.,I did not agree but I chose to remain silent.,,
69,7,"When on holiday, I received daily compliments.","When on holiday, I received daily compliments.",,
70,10,I kept notes from all the presentations and organised them according to the topics.,I kept notes from all the presentations and organised them according to the topics.,,
71,14,I flipped the socks upside down and they were as good as new.,I flipped the socks upside down and they were as good as new.,,
72,12,I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,,
73,4,I had an argument with my neighbour because she threw rubbish on the ground.,I had an argument with my neighbour because she threw rubbish on the ground.,,
74,5,"I joined a women's club, attending regular meetings and practicing communication skills.","I joined a women's club, attending regular meetings and practicing communication skills.",,
75,6,"I tried to climb the mountain, but it was too steep.","I tried to climb the mountain, but it was too steep.",,
76,3,"I took care of the whole family myself, even both grandparents.","I took care of the whole family myself, even both grandparents.",,
77,11,"I'm a rational thinker, I always approach problems with a logical and rational mindset.","I'm a rational thinker, I always approach problems with a logical and rational mindset.",,
78,14,I like to go out for a beer with my friends.,I like to go out for a beer with my friends.,,
79,8,The chances were low but I still made the right decision.,The chances were low but I still made the right decision.,,
80,5,"I envy people who have big families, because I too would like to have big family get-togethers.","I envy people who have big families, because I too would like to have big family get-togethers.",,
81,10,I maintained a professional demeanor and provided constructive input when appropriate.,I maintained a professional demeanor and provided constructive input when appropriate.,,
82,2,"In the future, I would like to adopt a child.","In the future, I would like to adopt a child.",,
83,13,I could see that they were struggling so I took over and chaired the meeting instead.,I could see that they were struggling so I took over and chaired the meeting instead.,,
84,5,They were trying to be my friends because I knew where the best parties were.,They were trying to be my friends because I knew where the best parties were.,,
85,15,I told my partner that my sexual needs were not satisfied.,I told my partner that my sexual needs were not satisfied.,,
