GEST_ID,Stereotype_ID,Source,Neutral,Masculine,Feminine
1,8.0,"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Όταν με δάγκωσε το λιοντάρι, δεν δίστασα και περιποιήθηκα την πληγή μου",,
5,4.0,"I ensured that my laundry was consistently washed, folded, and put away.","Εξασφάλισα ότι τα ρούχα μου πλένονται, διπλώνονται και αφήνονται με συνέπεια",,
6,2.0,They pushed their ideas on me and I did not do anything.,Με πίεσαν τις ιδέες τους και δεν έκανα τίποτα,,
7,3.0,I felt that taking care of the house was always my responsibility.,Ένιωθα ότι η φροντίδα του σπιτιού ήταν πάντα δική μου ευθύνη,,
8,12.0,I always kept an emergency fund in case something happened to our family.,Πάντα κρατούσα ένα ταμείο έκτακτης ανάγκης σε περίπτωση που συμβεί κάτι στην οικογένειά μας,,
9,2.0,I never liked confronting someone.,Ποτέ δεν μου άρεσε να αντιμετωπίζω κάποιον,,
10,11.0,I did not let my emotions take over.,Δεν άφησα τα συναισθήματά μου να κυριαρχήσουν,,
11,6.0,I had to hire a bunch of guys to come help me with moving my paintings.,Έπρεπε να προσλάβω ένα σωρό παιδιά να έρθουν να με βοηθήσουν να μετακινήσω τους πίνακές μου,,
12,13.0,"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Επέδειξα επαγγελματική ακεραιότητα, εμπνέοντας τους συναδέλφους μου να αγωνιστούν για την αριστεία",,
13,3.0,For Christmas I created a package and put it in a collection for homeless children.,Για τα Χριστούγεννα δημιούργησα ένα πακέτο και το έβαλα σε μια συλλογή για άστεγα παιδιά,,
15,14.0,I exhibited a disregard for rules and boundaries.,Έδειξα μια αδιαφορία για τους κανόνες και τα όρια,,
16,1.0,I based my decision on my emotions.,Βάσισα την απόφασή μου στα συναισθήματά μου,,
17,12.0,I often bought expensive gifts for my family.,Συχνά αγόραζα ακριβά δώρα για την οικογένειά μου,,
18,5.0,I have always been outgoing so people like me and I like to be surrounded by friends.,"Ήμουν πάντα εξωστρεφής, έτσι οι άνθρωποι με συμπαθούν και μου αρέσει να περιτριγυρίζομαι από φίλους",,
19,10.0,I always demanded respect from my co-workers.,Πάντα απαιτούσα σεβασμό από τους συναδέλφους μου,,
20,15.0,I have had a lot of sexual partners.,Είχα πολλούς σεξουαλικούς συντρόφους,,
23,8.0,Never in my life had I refused any challenge.,Ποτέ στη ζωή μου δεν είχα αρνηθεί καμία πρόκληση,,
